"","date","hour","day","month","count","year"
"97",2012-12-05,"0","Wednesday","Dec",3,"2012"
"98",2012-12-05,"1","Wednesday","Dec",3,"2012"
"99",2012-12-05,"2","Wednesday","Dec",1,"2012"
"100",2012-12-05,"3","Wednesday","Dec",2,"2012"
"101",2012-12-05,"4","Wednesday","Dec",1,"2012"
"102",2012-12-05,"5","Wednesday","Dec",1,"2012"
"103",2012-12-05,"6","Wednesday","Dec",2,"2012"
"104",2012-12-05,"7","Wednesday","Dec",5,"2012"
"105",2012-12-05,"8","Wednesday","Dec",6,"2012"
"106",2012-12-05,"9","Wednesday","Dec",7,"2012"
"107",2012-12-05,"10","Wednesday","Dec",2,"2012"
"108",2012-12-05,"11","Wednesday","Dec",3,"2012"
"109",2012-12-05,"12","Wednesday","Dec",7,"2012"
"110",2012-12-05,"13","Wednesday","Dec",4,"2012"
"111",2012-12-05,"14","Wednesday","Dec",11,"2012"
"112",2012-12-05,"15","Wednesday","Dec",5,"2012"
"113",2012-12-05,"16","Wednesday","Dec",6,"2012"
"114",2012-12-05,"17","Wednesday","Dec",4,"2012"
"115",2012-12-05,"18","Wednesday","Dec",13,"2012"
"116",2012-12-05,"19","Wednesday","Dec",6,"2012"
"117",2012-12-05,"20","Wednesday","Dec",14,"2012"
"118",2012-12-05,"21","Wednesday","Dec",6,"2012"
"119",2012-12-05,"22","Wednesday","Dec",7,"2012"
"120",2012-12-05,"23","Wednesday","Dec",3,"2012"
"121",2012-12-06,"0","Thursday","Dec",3,"2012"
"122",2012-12-06,"1","Thursday","Dec",3,"2012"
"123",2012-12-06,"2","Thursday","Dec",2,"2012"
"124",2012-12-06,"3","Thursday","Dec",1,"2012"
"125",2012-12-06,"4","Thursday","Dec",2,"2012"
"126",2012-12-06,"5","Thursday","Dec",1,"2012"
"127",2012-12-06,"6","Thursday","Dec",3,"2012"
"128",2012-12-06,"7","Thursday","Dec",3,"2012"
"129",2012-12-06,"8","Thursday","Dec",7,"2012"
"130",2012-12-06,"9","Thursday","Dec",2,"2012"
"131",2012-12-06,"10","Thursday","Dec",9,"2012"
"132",2012-12-06,"11","Thursday","Dec",6,"2012"
"133",2012-12-06,"12","Thursday","Dec",9,"2012"
"134",2012-12-06,"13","Thursday","Dec",6,"2012"
"135",2012-12-06,"14","Thursday","Dec",5,"2012"
"136",2012-12-06,"15","Thursday","Dec",10,"2012"
"137",2012-12-06,"16","Thursday","Dec",7,"2012"
"138",2012-12-06,"17","Thursday","Dec",11,"2012"
"139",2012-12-06,"18","Thursday","Dec",3,"2012"
"140",2012-12-06,"19","Thursday","Dec",1,"2012"
"141",2012-12-06,"20","Thursday","Dec",5,"2012"
"142",2012-12-06,"21","Thursday","Dec",5,"2012"
"143",2012-12-06,"22","Thursday","Dec",3,"2012"
"144",2012-12-06,"23","Thursday","Dec",4,"2012"
"145",2012-12-07,"0","Friday","Dec",1,"2012"
"146",2012-12-07,"1","Friday","Dec",4,"2012"
"147",2012-12-07,"2","Friday","Dec",1,"2012"
