"MB2006","UR2006_num","UR2006","DHB_code","DHB_label","Pop2001","Pop2006","Pop2013"
2404200,1,"Urban",17,"West Coast",48,54,36
2404300,1,"Urban",17,"West Coast",75,84,75
2404400,1,"Urban",17,"West Coast",93,96,87
2404500,1,"Urban",17,"West Coast",114,111,99
2404600,1,"Urban",17,"West Coast",141,156,153
2404700,1,"Urban",17,"West Coast",117,99,111
2404800,1,"Urban",17,"West Coast",123,102,102
2404900,1,"Urban",17,"West Coast",60,54,57
2405000,1,"Urban",17,"West Coast",93,90,117
2405100,1,"Urban",17,"West Coast",66,84,48
2405200,1,"Urban",17,"West Coast",75,90,84
2405300,1,"Urban",17,"West Coast",57,57,63
2405400,1,"Urban",17,"West Coast",72,75,81
2405500,1,"Urban",17,"West Coast",48,60,57
2405600,1,"Urban",17,"West Coast",69,81,72
2405700,1,"Urban",17,"West Coast",90,93,87
2405800,1,"Urban",17,"West Coast",114,93,93
2405900,1,"Urban",17,"West Coast",6,12,6
2406000,1,"Urban",17,"West Coast",3,3,3
2406100,1,"Urban",17,"West Coast",39,30,24
2406200,1,"Urban",17,"West Coast",51,60,48
2406300,1,"Urban",17,"West Coast",12,15,3
2406401,1,"Urban",17,"West Coast",72,78,96
2406402,1,"Urban",17,"West Coast",81,90,87
2406500,1,"Urban",17,"West Coast",33,24,30
2406600,1,"Urban",17,"West Coast",33,39,27
2406700,1,"Urban",17,"West Coast",90,105,96
2406800,1,"Urban",17,"West Coast",39,57,45
2406900,1,"Urban",17,"West Coast",15,21,36
2407000,1,"Urban",17,"West Coast",114,114,102
2407100,1,"Urban",17,"West Coast",105,105,87
2407200,1,"Urban",17,"West Coast",87,90,90
2407300,1,"Urban",17,"West Coast",90,81,99
2407400,1,"Urban",17,"West Coast",102,93,84
2407500,1,"Urban",17,"West Coast",0,0,0
2407600,1,"Urban",17,"West Coast",6,9,6
2407700,1,"Urban",17,"West Coast",12,15,12
2407800,1,"Urban",17,"West Coast",3,3,0
2407900,1,"Urban",17,"West Coast",30,9,3
2408000,1,"Urban",17,"West Coast",18,12,9
2408100,1,"Urban",17,"West Coast",0,0,0
2408200,1,"Urban",17,"West Coast",0,0,0
2408300,1,"Urban",17,"West Coast",0,0,0
2408400,1,"Urban",17,"West Coast",0,0,0
2408500,1,"Urban",17,"West Coast",15,15,12
2408600,1,"Urban",17,"West Coast",3,6,3
2408700,1,"Urban",17,"West Coast",6,12,6
2408800,1,"Urban",17,"West Coast",24,15,9
2408900,1,"Urban",17,"West Coast",39,33,27
2409000,1,"Urban",17,"West Coast",15,12,12
2409100,1,"Urban",17,"West Coast",51,54,54
2409200,1,"Urban",17,"West Coast",72,69,66
2409300,1,"Urban",17,"West Coast",123,108,105
2409400,1,"Urban",17,"West Coast",102,105,96
2409500,1,"Urban",17,"West Coast",96,105,99
2409600,1,"Urban",17,"West Coast",33,33,39
2409700,1,"Urban",17,"West Coast",69,69,69
2409800,1,"Urban",17,"West Coast",144,141,153
2409900,1,"Urban",17,"West Coast",123,132,126
2410002,1,"Urban",17,"West Coast",99,93,81
2410003,1,"Urban",17,"West Coast",48,51,57
2410004,1,"Urban",17,"West Coast",0,0,0
2410100,1,"Urban",17,"West Coast",45,54,36
2410200,1,"Urban",17,"West Coast",105,102,96
2410300,1,"Urban",17,"West Coast",123,126,117
2410400,1,"Urban",17,"West Coast",69,84,84
2410500,1,"Urban",17,"West Coast",123,126,114
2410600,1,"Urban",17,"West Coast",129,120,123
2410700,1,"Urban",17,"West Coast",93,102,87
2410800,1,"Urban",17,"West Coast",111,99,90
2410900,1,"Urban",17,"West Coast",90,72,54
2411000,1,"Urban",17,"West Coast",93,111,93
2411100,1,"Urban",17,"West Coast",165,165,144
2411200,1,"Urban",17,"West Coast",63,69,60
2411300,1,"Urban",17,"West Coast",57,63,66
2411400,1,"Urban",17,"West Coast",114,114,120
2411500,1,"Urban",17,"West Coast",123,135,102
2411600,1,"Urban",17,"West Coast",108,105,99
2411700,1,"Urban",17,"West Coast",102,105,111
2411800,1,"Urban",17,"West Coast",69,78,78
2411900,1,"Urban",17,"West Coast",129,129,135
2412000,1,"Urban",17,"West Coast",204,198,210
2412100,1,"Urban",17,"West Coast",126,177,216
2412200,1,"Urban",17,"West Coast",48,42,42
2412300,1,"Urban",17,"West Coast",111,111,129
2412400,1,"Urban",17,"West Coast",141,129,126
2412500,1,"Urban",17,"West Coast",147,129,117
2412600,1,"Urban",17,"West Coast",3,0,81
2412700,1,"Urban",17,"West Coast",150,150,141
2412800,1,"Urban",17,"West Coast",132,153,132
2412900,1,"Urban",17,"West Coast",102,90,84
2413001,1,"Urban",17,"West Coast",96,96,81
2413002,-1,"Rural",17,"West Coast",6,6,9
2413101,1,"Urban",17,"West Coast",96,96,87
2413102,-1,"Rural",17,"West Coast",42,48,30
2413201,-1,"Rural",17,"West Coast",15,27,33
2413202,1,"Urban",17,"West Coast",42,45,48
2413203,1,"Urban",17,"West Coast",51,54,51
2413302,1,"Urban",17,"West Coast",66,66,72
2413303,1,"Urban",17,"West Coast",63,78,81
2413304,-3,"Rural",17,"West Coast",3,6,3
2413401,-1,"Rural",17,"West Coast",150,174,255
2413402,1,"Urban",17,"West Coast",42,54,75
2413500,-1,"Rural",17,"West Coast",18,18,36
2413600,1,"Urban",17,"West Coast",105,126,111
2413701,1,"Urban",17,"West Coast",186,216,258
2413702,1,"Urban",17,"West Coast",138,141,156
2413800,NA,NA,17,"West Coast",0,0,3
2413900,1,"Urban",17,"West Coast",60,72,63
2414000,1,"Urban",17,"West Coast",123,108,99
2414100,1,"Urban",17,"West Coast",36,48,42
2414200,1,"Urban",17,"West Coast",15,21,15
2414301,-1,"Rural",17,"West Coast",48,33,45
2414302,1,"Urban",17,"West Coast",63,75,108
2414401,1,"Urban",17,"West Coast",96,108,123
2414402,-1,"Rural",17,"West Coast",27,60,66
2414500,-2,"Rural",17,"West Coast",36,48,108
2414600,-3,"Rural",17,"West Coast",48,51,54
2414700,-3,"Rural",17,"West Coast",6,12,3
2414801,NA,NA,99,"Area outside District Health Board",3,0,0
2414802,NA,NA,99,"Area outside District Health Board",0,0,0
2414900,1,"Urban",17,"West Coast",105,87,102
2415000,1,"Urban",17,"West Coast",141,105,135
2415100,1,"Urban",17,"West Coast",87,90,99
2415200,1,"Urban",17,"West Coast",138,144,138
2415300,1,"Urban",17,"West Coast",39,48,42
2415400,1,"Urban",17,"West Coast",99,99,99
2415500,1,"Urban",17,"West Coast",84,78,81
2415600,1,"Urban",17,"West Coast",27,30,27
2415700,1,"Urban",17,"West Coast",72,60,57
2415800,1,"Urban",17,"West Coast",36,42,30
2415901,1,"Urban",17,"West Coast",48,42,39
2415902,1,"Urban",17,"West Coast",66,60,57
2416000,1,"Urban",17,"West Coast",15,15,21
2416100,1,"Urban",17,"West Coast",87,90,81
2416200,1,"Urban",17,"West Coast",126,111,123
2416300,1,"Urban",17,"West Coast",21,27,24
2416402,-3,"Rural",22,"Southern",0,0,0
2416403,NA,NA,17,"West Coast",0,0,0
2416404,-3,"Rural",17,"West Coast",51,33,21
2416500,-2,"Rural",17,"West Coast",84,114,87
2416601,-3,"Rural",17,"West Coast",72,48,45
2416602,-3,"Rural",17,"West Coast",63,63,51
2416603,-3,"Rural",17,"West Coast",18,30,27
2416700,-3,"Rural",17,"West Coast",21,12,9
2416801,-3,"Rural",17,"West Coast",27,15,12
2416802,NA,NA,17,"West Coast",0,0,0
2416803,NA,NA,17,"West Coast",0,0,0
2416901,-3,"Rural",17,"West Coast",0,9,0
2416902,-3,"Rural",17,"West Coast",66,90,72
2417000,-3,"Rural",17,"West Coast",39,39,27
2417100,-3,"Rural",17,"West Coast",39,30,18
2417200,-2,"Rural",17,"West Coast",15,27,18
2417300,-3,"Rural",17,"West Coast",108,195,150
2417400,-3,"Rural",17,"West Coast",66,66,69
2417501,NA,NA,17,"West Coast",0,0,0
2417502,-3,"Rural",17,"West Coast",54,78,69
2417600,-3,"Rural",17,"West Coast",93,105,81
2417701,-3,"Rural",17,"West Coast",42,39,36
2417702,NA,NA,17,"West Coast",0,0,0
2417800,-3,"Rural",17,"West Coast",96,132,57
2417900,-3,"Rural",17,"West Coast",33,39,30
2418000,-3,"Rural",17,"West Coast",9,12,18
2418101,-3,"Rural",17,"West Coast",33,117,165
2418103,-3,"Rural",17,"West Coast",9,15,9
2418104,-3,"Rural",17,"West Coast",0,0,0
2418202,-3,"Rural",17,"West Coast",42,63,66
2418203,-3,"Rural",17,"West Coast",27,36,24
2418204,NA,NA,17,"West Coast",0,0,0
2418300,-3,"Rural",17,"West Coast",144,156,129
2418402,-3,"Rural",17,"West Coast",51,54,63
2418403,-3,"Rural",17,"West Coast",12,15,15
2418404,-3,"Rural",17,"West Coast",75,48,39
2418500,-3,"Rural",17,"West Coast",15,21,30
2418600,-3,"Rural",17,"West Coast",42,48,45
2418700,-3,"Rural",17,"West Coast",48,36,36
2418800,-3,"Rural",17,"West Coast",33,27,33
2418900,-3,"Rural",17,"West Coast",63,54,54
2419000,-3,"Rural",17,"West Coast",54,30,42
2419100,-3,"Rural",17,"West Coast",27,36,30
2419200,-3,"Rural",17,"West Coast",63,75,78
2419301,-3,"Rural",17,"West Coast",12,30,15
2419302,-3,"Rural",17,"West Coast",93,99,78
2419400,-2,"Rural",17,"West Coast",63,63,78
2419500,-2,"Rural",17,"West Coast",81,69,81
2419600,-2,"Rural",17,"West Coast",108,90,78
2419700,-2,"Rural",17,"West Coast",63,69,60
2419800,-3,"Rural",17,"West Coast",0,0,0
2419901,-2,"Rural",17,"West Coast",78,99,126
2419902,-2,"Rural",17,"West Coast",21,36,66
2420000,-2,"Rural",17,"West Coast",144,222,213
2420100,-2,"Rural",17,"West Coast",159,192,210
2420200,-2,"Rural",17,"West Coast",93,87,93
2420300,-2,"Rural",17,"West Coast",114,120,108
2420400,-3,"Rural",17,"West Coast",3,6,6
2420500,-2,"Rural",17,"West Coast",111,111,111
2420600,-3,"Rural",17,"West Coast",135,144,144
2420700,-3,"Rural",17,"West Coast",0,3,0
2420800,1,"Urban",17,"West Coast",27,27,21
2420900,1,"Urban",17,"West Coast",42,51,54
2421000,1,"Urban",17,"West Coast",27,30,18
2421100,1,"Urban",17,"West Coast",51,51,48
2421201,1,"Urban",17,"West Coast",108,120,135
2421202,1,"Urban",17,"West Coast",114,150,183
2421301,-1,"Rural",17,"West Coast",45,27,54
2421302,-2,"Rural",17,"West Coast",36,39,30
2421303,1,"Urban",17,"West Coast",24,33,21
2421304,-1,"Rural",17,"West Coast",33,45,33
2421402,NA,NA,17,"West Coast",0,0,0
2421403,-3,"Rural",17,"West Coast",0,0,0
2421404,-2,"Rural",17,"West Coast",36,48,60
2421500,-2,"Rural",17,"West Coast",216,240,339
2421600,-2,"Rural",17,"West Coast",114,138,222
2421700,-2,"Rural",17,"West Coast",96,102,87
2421800,-1,"Rural",17,"West Coast",153,210,207
2421900,-2,"Rural",17,"West Coast",15,24,18
2422000,-1,"Rural",17,"West Coast",117,96,111
2422100,-1,"Rural",17,"West Coast",33,30,36
2422200,-1,"Rural",17,"West Coast",108,114,99
2422300,-2,"Rural",17,"West Coast",54,51,51
2422400,-2,"Rural",17,"West Coast",102,120,174
2422500,-1,"Rural",17,"West Coast",33,33,33
2422600,-2,"Rural",17,"West Coast",33,33,33
2422700,-3,"Rural",17,"West Coast",24,57,33
2422800,-3,"Rural",17,"West Coast",33,30,24
2422900,-3,"Rural",17,"West Coast",0,0,0
2423000,1,"Urban",17,"West Coast",120,105,99
2423100,1,"Urban",17,"West Coast",99,90,102
2423200,1,"Urban",17,"West Coast",84,90,87
2423300,1,"Urban",17,"West Coast",30,33,30
2423400,1,"Urban",17,"West Coast",105,114,105
2423500,1,"Urban",17,"West Coast",177,162,168
2423600,1,"Urban",17,"West Coast",99,117,105
2423700,1,"Urban",17,"West Coast",159,150,171
2423800,1,"Urban",17,"West Coast",111,111,93
2423900,1,"Urban",17,"West Coast",72,72,87
2424000,1,"Urban",17,"West Coast",108,108,117
2424100,1,"Urban",17,"West Coast",108,123,126
2424200,1,"Urban",17,"West Coast",117,135,129
2424300,1,"Urban",17,"West Coast",24,21,24
2424400,1,"Urban",17,"West Coast",9,6,6
2424500,1,"Urban",17,"West Coast",6,12,3
2424600,1,"Urban",17,"West Coast",51,51,60
2424700,1,"Urban",17,"West Coast",27,15,9
2424800,1,"Urban",17,"West Coast",6,9,3
2424900,1,"Urban",17,"West Coast",3,6,6
2425000,1,"Urban",17,"West Coast",6,6,9
2425100,1,"Urban",17,"West Coast",69,63,48
2425200,1,"Urban",17,"West Coast",105,117,105
2425300,1,"Urban",17,"West Coast",105,93,90
2425400,1,"Urban",17,"West Coast",117,99,99
2425500,1,"Urban",17,"West Coast",120,108,99
